계층,시도,시군구,매체명,호스트,출처,tier
전국,,,apnews.kr,apnews.kr,auto,tier4
전국,,,asiatime.co.kr,asiatime.co.kr,auto,tier4
전국,,,asiatoday.co.kr,asiatoday.co.kr,auto,tier4
전국,,,banronbodo.com,banronbodo.com,auto,tier4
전국,,,breaknews.com,breaknews.com,auto,tier4
전국,,,businesspost.co.kr,businesspost.co.kr,auto,tier4
전국,,,bzeronews.com,bzeronews.com,auto,tier4
전국,,,cbci.co.kr,cbci.co.kr,auto,tier4
전국,,,cnbnews.com,cnbnews.com,auto,tier4
전국,,,daily.hankooki.com,daily.hankooki.com,auto,tier4
전국,,,danbinews.com,danbinews.com,auto,tier4
전국,,,discoverynews.kr,discoverynews.kr,auto,tier4
전국,,,dnews.co.kr,dnews.co.kr,auto,tier4
전국,,,dtnews24.com,dtnews24.com,auto,tier4
전국,,,econonews.co.kr,econonews.co.kr,auto,tier4
전국,,,efnews.co.kr,efnews.co.kr,auto,tier4
전국,,,ekn.kr,ekn.kr,auto,tier4
전국,,,enewstoday.co.kr,enewstoday.co.kr,auto,tier4
전국,,,eroun.net,eroun.net,auto,tier4
전국,,,etoday.co.kr,etoday.co.kr,auto,tier4
전국,,,finomy.com,finomy.com,auto,tier4
전국,,,fintechpost.co.kr,fintechpost.co.kr,auto,tier4
전국,,,fntimes.com,fntimes.com,auto,tier4
전국,,,fntoday.co.kr,fntoday.co.kr,auto,tier4
전국,,,fpn119.co.kr,fpn119.co.kr,auto,tier4
전국,,,ggilbo.com,ggilbo.com,auto,tier4
전국,,,gginews.co.kr,gginews.co.kr,auto,tier4
전국,,,gjdream.com,gjdream.com,auto,tier4
전국,,,goodmorningcc.com,goodmorningcc.com,auto,tier4
전국,,,grandculture.net,grandculture.net,auto,tier4
전국,,,gukjenews.com,gukjenews.com,auto,tier4
전국,,,idsn.co.kr,idsn.co.kr,auto,tier4
전국,,,ilyo.co.kr,ilyo.co.kr,auto,tier4
전국,,,ilyoseoul.co.kr,ilyoseoul.co.kr,auto,tier4
전국,,,ilyosisa.co.kr,ilyosisa.co.kr,auto,tier4
전국,,,iminju.net,iminju.net,auto,tier4
전국,,,incheonilbo.com,incheonilbo.com,auto,tier4
전국,,,incheonnews.com,incheonnews.com,auto,tier4
전국,,,incheontoday.com,incheontoday.com,auto,tier4
전국,,,inthenews.co.kr,inthenews.co.kr,auto,tier4
전국,,,jbsori.com,jbsori.com,auto,tier4
전국,,,jeonmae.co.kr,jeonmae.co.kr,auto,tier4
전국,,,joongangenews.com,joongangenews.com,auto,tier4
전국,,,joongdo.co.kr,joongdo.co.kr,auto,tier4
전국,,,joynews24.com,joynews24.com,auto,tier4
전국,,,kfenews.co.kr,kfenews.co.kr,auto,tier4
전국,,,kgnews.co.kr,kgnews.co.kr,auto,tier4
전국,,,knnews.co.kr,knnews.co.kr,auto,tier4
전국,,,korea.kr,korea.kr,auto,tier4
전국,,,kpenews.com,kpenews.com,auto,tier4
전국,,,kpinews.kr,kpinews.kr,auto,tier4
전국,,,ksmnews.co.kr,ksmnews.co.kr,auto,tier4
전국,,,kukinews.com,kukinews.com,auto,tier4
전국,,,kwangju.co.kr,kwangju.co.kr,auto,tier4
전국,,,kyeongin.com,kyeongin.com,auto,tier4
전국,,,lawissue.co.kr,lawissue.co.kr,auto,tier4
전국,,,m-i.kr,m-i.kr,auto,tier4
전국,,,m.skyedaily.com,m.skyedaily.com,auto,tier4
전국,,,mediapen.com,mediapen.com,auto,tier4
전국,,,metroseoul.co.kr,metroseoul.co.kr,auto,tier4
전국,,,mhns.co.kr,mhns.co.kr,auto,tier4
전국,,,mygoyang.com,mygoyang.com,auto,tier4
전국,,,naeil.com,naeil.com,auto,tier4
전국,,,newdaily.co.kr,newdaily.co.kr,auto,tier4
전국,,,news.bbsi.co.kr,news.bbsi.co.kr,auto,tier4
전국,,,news.ifm.kr,news.ifm.kr,auto,tier4
전국,,,news.lghellovision.net,news.lghellovision.net,auto,tier4
전국,,,news.mtn.co.kr,news.mtn.co.kr,auto,tier4
전국,,,news.skbroadband.com,news.skbroadband.com,auto,tier4
전국,,,news.tf.co.kr,news.tf.co.kr,auto,tier4
전국,,,news2day.co.kr,news2day.co.kr,auto,tier4
전국,,,newscj.com,newscj.com,auto,tier4
전국,,,newsdream.kr,newsdream.kr,auto,tier4
전국,,,newsfarm.co.kr,newsfarm.co.kr,auto,tier4
전국,,,newsfreezone.co.kr,newsfreezone.co.kr,auto,tier4
전국,,,newsprime.co.kr,newsprime.co.kr,auto,tier4
전국,,,newstnt.com,newstnt.com,auto,tier4
전국,,,newstown.co.kr,newstown.co.kr,auto,tier4
전국,,,newsworks.co.kr,newsworks.co.kr,auto,tier4
전국,,,onews.tv,onews.tv,auto,tier4
전국,,,pennmike.com,pennmike.com,auto,tier4
전국,,,pinpointnews.co.kr,pinpointnews.co.kr,auto,tier4
전국,,,pn.or.kr,pn.or.kr,auto,tier4
전국,,,polinews.co.kr,polinews.co.kr,auto,tier4
전국,,,popcornnews.net,popcornnews.net,auto,tier4
전국,,,ppss.kr,ppss.kr,auto,tier4
전국,,,queen.co.kr,queen.co.kr,auto,tier4
전국,,,radio.ytn.co.kr,radio.ytn.co.kr,auto,tier4
