id,title,poll_org,client_org,date_range,sample_size,url,source,nttId,classification,regionKey,municipality,electionType,electionTypes
15938,경기도 전체    정당지지도 광역단체장선거 교육감선거,조원씨앤아이,인터넷언론 : 프레시안,2026-04-02 14:00 ~ 2026-04-03 20:30,전체,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=18065&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,출처: 중앙선거여론조사심의위원회,18065,"{'region': {'level': 'metro', 'metro': '경기도', 'metroKey': 'gyeonggi', 'municipality': None}, 'electionTypes': ['governor', 'superintendent'], 'hasPartySupport': True, 'isRegularSurvey': False}",gyeonggi,,governor,"['governor', 'superintendent']"
15937,서울특별시 금천구    기초단체장선거 정당지지도,한길리서치,인터넷언론 : 금천저널24,2026-04-01 17:00 ~ 2026-04-02 21:30,전체,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=18064&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,출처: 중앙선거여론조사심의위원회,18064,"{'region': {'level': 'municipality', 'metro': '서울특별시', 'metroKey': 'seoul', 'municipality': '금천구'}, 'electionTypes': ['mayor'], 'hasPartySupport': True, 'isRegularSurvey': False}",seoul,금천구,mayor,['mayor']
15936,경기도 전체    광역단체장선거 정당지지도 교육감선거,넥스트리서치,방송사 : CBS,2026-04-02 10:00 ~ 2026-04-03 21:00,전체,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=18062&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,출처: 중앙선거여론조사심의위원회,18062,"{'region': {'level': 'metro', 'metro': '경기도', 'metroKey': 'gyeonggi', 'municipality': None}, 'electionTypes': ['governor', 'superintendent'], 'hasPartySupport': True, 'isRegularSurvey': False}",gyeonggi,,governor,"['governor', 'superintendent']"
15935,경기도 안산시    국회의원선거 정당지지도,(주)코리아정보리서치,인터넷언론 : 데일리안경인 데일리안TV,2026-04-02 14:00 ~ 2026-04-03 21:00,전체,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=18063&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,출처: 중앙선거여론조사심의위원회,18063,"{'region': {'level': 'municipality', 'metro': '경기도', 'metroKey': 'gyeonggi', 'municipality': '안산시'}, 'electionTypes': ['party_support'], 'hasPartySupport': True, 'isRegularSurvey': False}",gyeonggi,안산시,party_support,['party_support']
15932,경기도 하남시    기초단체장선거 정당지지도,(주)시그널앤펄스,구·시·군단위 신문 : 투데이광주하남,2026-04-02 17:00 ~ 2026-04-03 20:25,전체,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=18058&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,출처: 중앙선거여론조사심의위원회,18058,"{'region': {'level': 'municipality', 'metro': '경기도', 'metroKey': 'gyeonggi', 'municipality': '하남시'}, 'electionTypes': ['mayor'], 'hasPartySupport': True, 'isRegularSurvey': False}",gyeonggi,하남시,mayor,['mayor']
15930,부산광역시 전체    광역단체장선거 정당지지도,(주)이너텍시스템즈,인터넷언론 : 아이뉴스이십사,2026-04-02 10:00 ~ 2026-04-03 21:30,전체,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=18057&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,출처: 중앙선거여론조사심의위원회,18057,"{'region': {'level': 'metro', 'metro': '부산광역시', 'metroKey': 'busan', 'municipality': None}, 'electionTypes': ['governor'], 'hasPartySupport': True, 'isRegularSurvey': False}",busan,,governor,['governor']
15928,대구광역시 수성구    기초단체장선거 정당지지도,(주)비전코리아,방송사 : TBC,2026-04-01 18:11,전체,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=18055&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,출처: 중앙선거여론조사심의위원회,18055,"{'region': {'level': 'municipality', 'metro': '대구광역시', 'metroKey': 'daegu', 'municipality': '수성구'}, 'electionTypes': ['mayor'], 'hasPartySupport': True, 'isRegularSurvey': False}",daegu,수성구,mayor,['mayor']
15927,경상북도 영천시    기초단체장선거 정당지지도,여론조사공정(주),인터넷언론 : 미디어디펜스,2026-04-02 12:00,전체,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=18054&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,출처: 중앙선거여론조사심의위원회,18054,"{'region': {'level': 'municipality', 'metro': '경상북도', 'metroKey': 'gyeongbuk', 'municipality': '영천시'}, 'electionTypes': ['mayor'], 'hasPartySupport': True, 'isRegularSurvey': False}",gyeongbuk,영천시,mayor,['mayor']
15926,대전광역시 중구    기초단체장선거 정당지지도,(주)데일리리서치,인터넷언론 : 뉴스티앤티,2026-03-27 11:00 ~ 2026-03-28 21:00,전체,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=17977&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,출처: 중앙선거여론조사심의위원회,17977,"{'region': {'level': 'metro', 'metro': '대전광역시', 'metroKey': 'daejeon', 'municipality': None}, 'electionTypes': ['mayor'], 'hasPartySupport': True, 'isRegularSurvey': False}",daejeon,,mayor,['mayor']
15925,대구광역시 북구    기초단체장선거 정당지지도,(주)비전코리아,방송사 : TBC,2026-04-01 18:22 ~ 2026-04-02 21:53,전체,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=18053&menuNo=200467&searchTime=&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1,출처: 중앙선거여론조사심의위원회,18053,"{'region': {'level': 'metro', 'metro': '대구광역시', 'metroKey': 'daegu', 'municipality': None}, 'electionTypes': ['mayor'], 'hasPartySupport': True, 'isRegularSurvey': False}",daegu,,mayor,['mayor']
